,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
135,2004-08-09 08:23:00+00:00,PR,Whole Island of Puerto Rico,Two Large Units Tripped,451.0,259478,"8/09/04, 11:10 a.m."
136,2004-08-13 08:00:00+00:00,FRCC,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",Hurricane Charley,1300.0,502000,"8/23/04, 12:00 a.m"
137,2004-08-13 15:00:00+00:00,FRCC,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,Hurricane Charley,1400.0,1200000,"8/13/04, 11:00 p.m."
138,2004-08-13 13:30:00+00:00,FRCC,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",Hurricane Charley,700.0,200000,"8/13/04, 12 a.m."
139,2004-08-13 16:43:00+00:00,FRCC,"Eastern Hillsborough, Polk County, Florida",Hurricane Charley,250.0,78000,"8/13/04, 8:24 p.m."
140,2004-08-13 22:04:00+00:00,FRCC,"New Smyrna Beach, Florida",Hurricane Charley,65.0,23000,"8/14/04, 4:23 p.m."
141,2004-08-14 13:00:00+00:00,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Hurricane Charley,500.0,94000,"8/14/04, 11:00 p.m."
142,2004-08-20 15:31:00+00:00,NPCC,"Boston, Massachusetts",Major Transmission Line Tripped due to Lightning Strike,22700.0,380000,"8/20/04, 9:45 p.m."
143,2004-08-29 09:52:00+00:00,SERC,Southeastern South Carolina,Tropical Storm Gaston,450.0,125000,"8/29/04, 6:00 p.m."
144,2004-08-30 18:58:00+00:00,SERC,"Central Virginia, South to North Carolina and East to the Virginia Coast",Tropical Storm Gaston,150.0,99816,"8/31/04, 3:35 p.m."
145,2004-09-03 21:00:00+00:00,FRCC,"City of Fort Pierce, Florida",Hurricane Frances,125.0,26000,"9/05/04, 2:00 p.m."
146,2004-09-04 08:00:00+00:00,FRCC,"West Palm Beach to Daytona Beach, Florida",Hurricane Frances,6000.0,2775093,"9/06/04, 8:00 a.m."
147,2004-09-04 10:00:00+00:00,FRCC,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Frances,1100.0,268000,"09/12/04, 7:00 p.m."
148,2004-09-05 01:00:00+00:00,FRCC,"Orlando, Florida",Hurricane Frances,200.0,65000,"09/09/04, 5:00 p.m."
149,2004-09-05 07:00:00+00:00,FRCC,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Frances,2100.0,832898,"09/12/04 , 12:00 a.m."
150,2004-09-06 13:00:00+00:00,SERC,"Florida, Mississippi, Alabama, Georgia",Hurricane Frances,3000.0,99000,"09/09/04, 12:00 p.m."
151,2004-09-07 10:00:00+00:00,SERC,Georgia,Hurricane Frances,2200.0,150000,"09/08/04, 12:00 p.m."
152,2004-09-15 12:04:00+00:00,PR,Whole Island of Puerto Rico,Hurricane Jeanne,1243.0,1423590,09/23/04 12:00 p.m.
153,2004-09-15 19:00:00+00:00,SERC,"Florida, Mississippi, Alabama, Georgia",Hurricane Ivan,916.0,916316,"09/17/04, 7:00 p.m."
154,2004-09-16 02:00:00+00:00,SERC,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",Hurricane Ivan,263.0,75000,"9/16/04, 10:02 a.m."
155,2004-09-16 21:00:00+00:00,SERC,Western  North and South Carolina,Hurricane Ivan,500.0,175000,"9/20/04, 4:00 p.m."
156,2004-09-17 04:30:00+00:00,SERC,Western North Carolina,Hurricane Ivan,400.0,112000,"09/18/04, 12:00 p.m."
157,2004-09-25 17:00:00+00:00,FRCC,"City of Fort Pierce, Florida",Hurricane Jeanne,125.0,26000,"09/26/04, 9:00 a.m."
158,2004-09-26 02:00:00+00:00,FRCC,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Jeanne,1250.0,285300,"9/27/04, 12:00 a.m."
159,2004-09-26 03:00:00+00:00,FRCC,"Orlando and St. Cloud, Florida",Hurricane Jeanne,350.0,110000,"09/30/04, 9:00 a.m."
