,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
87,2004-01-14 06:00:00,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,,,2004-01-14 06:00:00
88,2004-01-26 10:00:00,SERC,Central South Carolina,Ice Storm,500,150000,"1/28/04, 8:00 AM",2004-01-28 08:00:00,2004-01-26 10:00:00
89,2004-01-26 14:00:00,SERC,North and Central area of Georgia,Ice Storm,150,30689,"1/27/04, 8:00 PM",2004-01-27 20:00:00,2004-01-26 14:00:00
90,2004-01-26 16:00:00,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm,475,9905,"1/29/04, 6:30 AM",2004-01-29 06:30:00,2004-01-26 16:00:00
91,2004-01-28 13:09:00,MAAC,"Harford County, Maryland",Ice Storm,300,0,"1/29/04, 5:00 AM",2004-01-29 05:00:00,2004-01-28 13:09:00
92,2004-02-05 20:00:00,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,"2/09/04, 8:00 PM",2004-02-09 20:00:00,2004-02-05 20:00:00
93,2004-02-14 20:00:00,NPCC,"Lake Colby, Lake Placid, Tupper Lake",Public Appeal to Reduce Load,30,18600,,,2004-02-14 20:00:00
94,2004-02-17 14:25:00,WECC,"San Francisco Bay area, California",Lightning struck Intertie Breaker ,220,0,"2/17/04, 11:57 PM",2004-02-17 23:57:00,2004-02-17 14:25:00
95,2004-02-25 00:01:00,WECC,Northern California,Winter Storm,240,505000,"2/26/04, 10:00 AM",2004-02-26 10:00:00,2004-02-25 00:01:00
96,2004-02-26 00:00:00,SERC,Georgia,Severe Storm,10,47165,"2/26/04, 1:30 AM",2004-02-26 01:30:00,2004-02-26 00:00:00
97,2004-03-04 05:00:00,ERCOT,North Texas,High Winds - Severe Storm,300,63000,"3/16/04, 2:45 PM",2004-03-16 14:45:00,2004-03-04 05:00:00
98,2004-03-07 18:30:00,SERC,North and South Carolina,Severe Storm,1000,206000,,,2004-03-07 18:30:00
99,2004-03-08 18:22:00,WECC,Southern California not including LA,Inadequate Resources,300,0,"3/08/04, 6:55 PM",2004-03-08 18:55:00,2004-03-08 18:22:00
100,2004-03-17 13:27:00,WECC,"El Paso, Texas",Faulty Switch,300,0,"3/17/04, 2:06 PM",2004-03-17 14:06:00,2004-03-17 13:27:00
101,2004-04-10 20:00:00,ERCOT,"Houston, Texas and surrounding suburban areas",Thunderstorms,100,0,,,2004-04-10 20:00:00
102,2004-04-12 05:30:00,FRCC,FPL's service territory mostly in Naples and Ft. Myers Florida,Storm with High Winds,250,179000,"4/12/04, 10:15 AM",2004-04-12 10:15:00,2004-04-12 05:30:00
103,2004-04-27 12:35:00,WECC,Snohomish County Washington,Strong Winds,300,187000,"4/30/04, 12:00 PM",2004-04-30 12:00:00,2004-04-27 12:35:00
104,2004-05-03 14:30:00,WECC,Central and Southern California,Heat Storm,662,0,"5/03/04, 7:00 PM",2004-05-03 19:00:00,2004-05-03 14:30:00
105,2004-05-11 15:30:00,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,85,0,"5/11/04, 6:00 PM",2004-05-11 18:00:00,2004-05-11 15:30:00
106,2004-05-21 02:00:00,ECAR,Akron and Youngstown areas,Severe Thunderstorms,525,281000,"5/24/04, 12:00 AM",2004-05-24 00:00:00,2004-05-21 02:00:00
107,2004-05-21 02:00:00,ECAR,Cleveland area,Severe Thunderstorms,177,127000,"5/24/04, 12:00 AM",2004-05-24 00:00:00,2004-05-21 02:00:00
108,2004-05-21 05:30:00,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,60,0,"5/25/04, 12:00 AM",2004-05-25 00:00:00,2004-05-21 05:30:00
109,2004-05-21 11:00:00,ECAR,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",Severe Thunderstorms,303,122600,"5/26/04, 9:00 PM",2004-05-26 21:00:00,2004-05-21 11:00:00
110,2004-05-21 13:00:00,ECAR,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",Severe Thunderstorms,200,248209,"5/25/04, 12:00 PM",2004-05-25 12:00:00,2004-05-21 13:00:00
111,2004-05-21 16:00:00,ECAR,Southeast Michigan,Severe Thunderstorms,630,0,"5/24/04, 8:00 PM",2004-05-24 20:00:00,2004-05-21 16:00:00
112,2004-05-28 12:00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,"5/31/04, 12:00 AM",2004-05-31 00:00:00,2004-05-28 12:00:00
113,2004-05-28 12:00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,"5/31/04, 12:00 AM",2004-05-31 00:00:00,2004-05-28 12:00:00
114,2004-05-28 12:00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals ,0,0,"5/31/04, 12:00 AM",2004-05-31 00:00:00,2004-05-28 12:00:00
115,2004-06-01 17:00:00,ERCOT,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",Severe Storms with Strong Winds,1900,500000,"6/02/04, 1:00 AM",2004-06-02 01:00:00,2004-06-01 17:00:00
116,2004-06-02 01:46:00,ECAR,"Shreveport, Louisiana",Severe  Thunderstorms with Strong Winds,350,59057,"6/07/04, 4:00 PM",2004-06-07 16:00:00,2004-06-02 01:46:00
117,2004-06-02 02:35:00,ECAR,"Tulsa, Oklahoma",Severe Thunderstorms with Strong Winds,280,56874,"6/06/04, 6:00 PM",2004-06-06 18:00:00,2004-06-02 02:35:00
118,2004-06-12 17:37:00,MAPP,"Lincoln, Nebraska",Tornado,428,120212,"6/12/04, 5:41 PM",2004-06-12 17:41:00,2004-06-12 17:37:00
119,2004-06-14 07:41:00,WECC,"Phoenix, Arizona",Fault on Line,200,30000,"6/14/04, 2:39 PM",2004-06-14 14:39:00,2004-06-14 07:41:00
120,2004-06-23 17:35:00,WECC,Southern Idaho,Load Shedding,157,35000,"6/23/04, 7:10 PM",2004-06-23 19:10:00,2004-06-23 17:35:00
121,2004-06-23 19:00:00,SERC,Georgia and Alabama,Thunderstorms,50,50595,"6/23/04, 8:00 PM",2004-06-23 20:00:00,2004-06-23 19:00:00
122,2004-07-06 06:00:00,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,0,0,"8/09/04, 12:00 PM",2004-08-09 12:00:00,2004-07-06 06:00:00
123,2004-07-06 06:00:00,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,0,0,"8/09/04, 12:00 PM",2004-08-09 12:00:00,2004-07-06 06:00:00
124,2004-07-07 13:30:00,SERC,Central Virginia,Severe Thunderstorms,120,88110,"7/07/04, 11:54 PM",2004-07-07 23:54:00,2004-07-07 13:30:00
125,2004-07-13 13:34:00,FRCC,"Leon  County, Florida",Units Tripped,283,42124,"7/13/04, 5:15 PM",2004-07-13 17:15:00,2004-07-13 13:34:00
126,2004-07-13 16:30:00,ECAR,"West, West Central and Southern Indiana",Severe Thunderstorms,600,135000,,,2004-07-13 16:30:00
127,2004-07-20 14:26:00,WECC,"Soledad Canyon near Acton, California",Wildfire/Shed Interruptible Load,214,0,"7/21/04, 2:00 AM",2004-07-21 02:00:00,2004-07-20 14:26:00
128,2004-07-20 15:44:00,PR,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",Wildfire,200,61624,"7/20/04, 5:51 PM",2004-07-20 17:51:00,2004-07-20 15:44:00
129,2004-07-21 17:30:00,MAIN,"Chicago, Illinois",Severe Thunderstorms,200,200000,"7/22/04, 7:00 PM",2004-07-22 19:00:00,2004-07-21 17:30:00
130,2004-07-24 15:45:00,SPP,Southwest Louisiana in the Acadia Parish vicinity,Public Appeal  ,0,0,,,2004-07-24 15:45:00
131,2004-07-25 22:00:00,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,"7/25/04, 11:00 PM",2004-07-25 23:00:00,2004-07-25 22:00:00
