,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
575,2008-12-28 04:45:00,RFC,Michigan Lower Peninsula,Wind Storm,,210517,6:00 PMDecember 312008,2008-12-31 18:00:00,2008-12-28 04:45:00
576,2008-12-28 11:45:00,RFC,Michigan Lower Peninsula,Wind Storm,,230000,11:30 PMDecember 282008,2008-12-28 23:30:00,2008-12-28 11:45:00
577,2008-12-30 16:02:00,RFC,"Crawfordsville, Indiana",Shed Firm Load,41,9700,4:37 PMDecember 302008,2008-12-30 16:37:00,2008-12-30 16:02:00
578,2009-01-05 05:00:00,TRE,North and Central Texas,Severe Storm,,157019,6:00 PMJanuary 062009,2009-01-06 18:00:00,2009-01-05 05:00:00
579,2009-01-07 17:00:00,SERC,Piedmont of North and South Carolina,High Winds,300,70000,8:05 PMJanuary 072009,2009-01-07 20:05:00,2009-01-07 17:00:00
580,2009-01-08 23:46:00,FRCC,Florida Keys,Transmission Equipment Failure,55,31000,11:25 AMJanuary 092009,2009-01-09 11:25:00,2009-01-08 23:46:00
581,2009-01-17 08:00:00,RFC,"PJM, Indiana",Fuel Supply Deficiency,,0,8:00 AMJanuary 252009,2009-01-25 08:00:00,2009-01-17 08:00:00
582,2009-01-22 16:00:00,RFC,"Crawfordsville, Indiana",Shed Load,50,9700,5:05 PMJanuary 222009,2009-01-22 17:05:00,2009-01-22 16:00:00
583,2009-01-27 05:00:00,RFC,State of Kentucky,Ice Storm,,383000,4:30 PMJanuary 292009,2009-01-29 16:30:00,2009-01-27 05:00:00
584,2009-01-27 05:03:00,SERC,Central and Eastern Kentrucky,Ice Storm,600,190000,5:15 PMJanuary 312009,2009-01-31 17:15:00,2009-01-27 05:03:00
585,2009-01-27 07:10:00,SERC,Western Kentucky and Southern Indiana,Ice Storm,350,3,7:30 PMFebruary 042009,2009-02-04 19:30:00,2009-01-27 07:10:00
586,2009-01-27 11:00:00,SERC,South Central and Southeast Missouri,Winter Storm,200,62500,6:00 PMJanuary 302009,2009-01-30 18:00:00,2009-01-27 11:00:00
587,2009-01-27 13:46:00,SERC,Northern Arkansas,Ice Storm,,111818,5:00 PMFebruary 032009,2009-02-03 17:00:00,2009-01-27 13:46:00
588,2009-01-27 15:43:00,RFC,CSWS-AEP West,Ice/Snow Storm,,59402,9:00 AMJanuary 292009,2009-01-29 09:00:00,2009-01-27 15:43:00
589,2009-01-27 21:00:00,SERC,Northern Arkansas,Ice Storm,600,215700,6:00 AMJanuary 292009,2009-01-29 06:00:00,2009-01-27 21:00:00
590,2009-01-27 21:45:00,SERC,TVA Service Territory,Ice Storm,850,1,10:17 PMJanuary 272009,2009-01-27 22:17:00,2009-01-27 21:45:00
591,2009-01-28 00:10:00,RFC,East Central Missouri,Winter Storm,300,1,9:20 PMJanuary 302009,2009-01-30 21:20:00,2009-01-28 00:10:00
592,2009-01-28 03:00:00,RFC,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,8:03 AMFebruary 132009,2009-02-13 08:03:00,2009-01-28 03:00:00
593,2009-01-28 04:00:00,RFC,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Ice Storm,21,3500,5:00 PMFebruary 072009,2009-02-07 17:00:00,2009-01-28 04:00:00
594,2009-01-28 06:00:00,RFC,"Indiana, Evansville, Metro Area",Ice Storm,506,75000,6:00 PMFebruary 052009,2009-02-05 18:00:00,2009-01-28 06:00:00
595,2009-01-28 07:50:00,RFC,Southern Indiana,Ice/Snow Storm,,53700,8:03 AMFebruary 132009,2009-02-13 08:03:00,2009-01-28 07:50:00
596,2009-01-28 09:00:00,SERC,Northeast Tennessee and Southwest Kentucky,Ice Storm,,109527,8:00 AMFebruary 052009,2009-02-05 08:00:00,2009-01-28 09:00:00
597,2009-01-28 10:00:00,RFC,Northern Kentucky and Southwest Ohio,Ice/Snow Storm,,53600,9:20 PMJanuary 302009,2009-01-30 21:20:00,2009-01-28 10:00:00
598,2009-02-11 02:30:00,TRE,"Houston, Texas",High Winds,350,64801,12:00 PMFebruary 112009,2009-02-11 12:00:00,2009-02-11 02:30:00
599,2009-02-11 18:00:00,RFC,"Kentucky, West Virginia and Ohio",Severe Thunderstorms,,279813,5:00 PMFebruary 132009,2009-02-13 17:00:00,2009-02-11 18:00:00
600,2009-02-11 18:18:00,RFC,"Maryland, Virginia, West Virginia and Pennsylvania",Severe Thunderstorms,,374644,8:10 PMFebruary 162009,2009-02-16 20:10:00,2009-02-11 18:18:00
601,2009-02-11 19:00:00,RFC,State of Kentucky,Severe Thunderstorms,,78000,11:00 AMFebruary 122009,2009-02-12 11:00:00,2009-02-11 19:00:00
602,2009-02-11 21:00:00,RFC,Northern Kentucky and Southwest Ohio,Severe Thunderstorms,350,63000,12:00 PMFebruary 122009,2009-02-12 12:00:00,2009-02-11 21:00:00
603,2009-02-12 02:30:00,RFC,Central and Eastern Ohio,High Winds,168,184000,6:00 AMFebruary 122009,2009-02-12 06:00:00,2009-02-12 02:30:00
604,2009-02-12 08:00:00,RFC,Western and North Eastern Pennsylvania,High Winds,130,132000,10:00 PMFebruary 152009,2009-02-15 22:00:00,2009-02-12 08:00:00
605,2009-02-13 02:30:00,RFC,Central and Eastern Ohio,High Winds,168,184000,3:00 AMFebruary 152009,2009-02-15 03:00:00,2009-02-13 02:30:00
606,2009-02-23 02:38:00,NPCC,Southern Central and Western Maine,Ice/Snow Storm,,131000,1:46 PMFebruary 242009,2009-02-24 13:46:00,2009-02-23 02:38:00
607,2009-03-01 00:15:00,WECC,"City of El Paso, Texas, County of El Paso",Transmission Equipment Failure,250,132000,3:00 AMMarch 012009,2009-03-01 03:00:00,2009-03-01 00:15:00
608,2009-03-01 16:00:00,SERC,Southern Balancing Area,Severe Weather,75,60000,11:25 PMMarch 012009,2009-03-01 23:25:00,2009-03-01 16:00:00
609,2009-03-01 20:54:00,SERC,Duke Energy Carolinas Balance Authority,Ice/Snow Storm,1000,180000,4:06 PMMarch 032009,2009-03-03 16:06:00,2009-03-01 20:54:00
610,2009-03-01 22:00:00,SERC,Central Virginia - Spotsylvania County,Winter Storm,210,217000,6:00 PMMarch 032009,2009-03-03 18:00:00,2009-03-01 22:00:00
611,2009-03-03 06:48:00,RFC,Southwest Michigan,Transformer Faulted/Unit Tripped,378,0,6:05 AMApril 262009,2009-04-26 06:05:00,2009-03-03 06:48:00
612,2009-03-03 22:00:00,Other,"Roanoke, Virginia",Made Public Appeals,350,0,8:17 PMMarch 042009,2009-03-04 20:17:00,2009-03-03 22:00:00
613,2009-03-08 22:16:00,WECC,"San Francisco Bay Area, California",Unit Shut Down,150,0,11:45 PMMarch 082009,2009-03-08 23:45:00,2009-03-08 22:16:00
614,2009-04-06 01:00:00,RFC,"Michigan, Lower Peninsula",Winter Storm,75,70793,12:00 PMApril 082009,2009-04-08 12:00:00,2009-04-06 01:00:00
615,2009-04-10 22:00:00,SERC,Alabama and Georgia,Severe Thunderstorms,162,56679,2:30 AMApril 112009,2009-04-11 02:30:00,2009-04-10 22:00:00
616,2009-04-23 00:00:00,WECC,Restricted Hydro Electric Capability,Fuel Supply Deficiency,0,0,Ongoing2009,,2009-04-23 00:00:00
617,2009-04-23 16:25:00,WECC,"Skagit County, Washington",Transmission Tripped,244,93300,12:29 AMApril 242009,2009-04-24 00:29:00,2009-04-23 16:25:00
618,2009-04-23 17:54:00,WECC,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",Substation Load Interruption,512,280000,7:58 PMApril 232009,2009-04-23 19:58:00,2009-04-23 17:54:00
619,2009-04-24 11:09:00,SERC,"Ruston, Louisiana",Complete Electric System Failure,32,11000,11:21 AMApril 242009,2009-04-24 11:21:00,2009-04-24 11:09:00
620,2009-04-25 14:30:00,RFC,Western Region of Service Territory,High Winds/Rain,,125000,1:00 AMApril 292009,2009-04-29 01:00:00,2009-04-25 14:30:00
621,2009-04-27 15:30:00,TRE,Greater Houston/Galveston Area,High Winds,176,158000,11:30 AMApril 282009,2009-04-28 11:30:00,2009-04-27 15:30:00
622,2009-05-08 07:30:00,SERC,SW Missouri,Severe Thunderstorm,266,83000,9:00 AMMay 082009,2009-05-08 09:00:00,2009-05-08 07:30:00
623,2009-05-08 13:30:00,SERC,Southern Illinois,Severe Thunderstorm,300,68800,11:20 PMMay 142009,2009-05-14 23:20:00,2009-05-08 13:30:00
624,2009-05-29 09:05:00,SERC,"Henderson County, Kentucky",Transmission Equipment Failure,342,1,7:57 PMMay 292009,2009-05-29 19:57:00,2009-05-29 09:05:00
625,2009-06-05 13:38:00,WECC,East of Fresno California,Electrical System Separation,1,70,8:18 PMJune 052009,2009-06-05 20:18:00,2009-06-05 13:38:00
626,2009-06-09 17:25:00,RFC,Central Maryland,Severe Thunderstorms,60,85091,5:00 AMJune 112009,2009-06-11 05:00:00,2009-06-09 17:25:00
627,2009-06-10 18:00:00,TRE,North and Central Texas,Severe Storms,,800000,10:00 AMJune 142009,2009-06-14 10:00:00,2009-06-10 18:00:00
628,2009-06-12 16:37:00,SERC,"Chattanooga, Tennessee",Severe Storm,860,136000,6:53 PMJune 122009,2009-06-12 18:53:00,2009-06-12 16:37:00
629,2009-06-12 17:45:00,SERC,"Arkansas, North Mississippi",Severe Thunderstorms,,81645,11:59 PMJune 152009,2009-06-15 23:59:00,2009-06-12 17:45:00
630,2009-06-12 22:00:00,SERC,Georgia,Severe Thunderstorm,290,102000,6:00 PMJune 132009,2009-06-13 18:00:00,2009-06-12 22:00:00
631,2009-06-16 23:00:00,WECC,A.D. Edmonston Pumping Plant,Fuel Supply Deficiency,300,0,2:00 AMJune 172009,2009-06-17 02:00:00,2009-06-16 23:00:00
632,2009-06-19 00:01:00,RFC,Michigan Lower Peninsula,Severe Storm,75,99000,11:00 PMJune 212009,2009-06-21 23:00:00,2009-06-19 00:01:00
633,2009-06-19 13:00:00,SERC,The Entire ComEd Service Territory,Severe Storm,,245000,11:59 PMJune 192009,2009-06-19 23:59:00,2009-06-19 13:00:00
634,2009-06-24 13:30:00,SERC,Southwest Louisiana,Made Public Appeals,,0,10:00 PMJune 242009,2009-06-24 22:00:00,2009-06-24 13:30:00
635,2009-06-25 15:16:00,TRE,ERCOT Region,Made Public Appeals,,0,7:00 PMJune 252009,2009-06-25 19:00:00,2009-06-25 15:16:00
636,2009-06-25 15:30:00,RFC,Western Region of Service Territory,High Winds/Rain,,118000,8:00 PMJune 282009,2009-06-28 20:00:00,2009-06-25 15:30:00
637,2009-06-26 01:00:00,RFC,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",Severe Thunderstorms,327,85000,9:00 AMJune 272009,2009-06-27 09:00:00,2009-06-26 01:00:00
638,2009-06-26 17:00:00,NPCC,Central Connecticut,Severe Thunderstorms,,50752,9:00 AMJune 292009,2009-06-29 09:00:00,2009-06-26 17:00:00
639,2009-07-02 22:44:00,NPCC,Northern Maine,Electrical System Separation,0,0,1:25 AMJuly 032009,2009-07-03 01:25:00,2009-07-02 22:44:00
640,2009-07-07 15:30:00,TRE,"San Antonio, Texas",Made Public Appeals,,0,7:00 PMJuly 072009,2009-07-07 19:00:00,2009-07-07 15:30:00
641,2009-07-08 13:30:00,TRE,ERCOT Region,Made Public Appeals,,0,7:00 PMJuly 082009,2009-07-08 19:00:00,2009-07-08 13:30:00
642,2009-07-14 13:00:00,SPP,AEP SWEPCO/Louisiana Area,Made Public Appeals,,0,6:00 PMJuly 142009,2009-07-14 18:00:00,2009-07-14 13:00:00
643,2009-07-15 13:00:00,SPP,AEP SWEPCO/Louisiana Area,Made Public Appeals,,0,6:00 PMJuly 152009,2009-07-15 18:00:00,2009-07-15 13:00:00
644,2009-07-16 13:00:00,SPP,AEP SWEPCO/Louisiana Area,Made Public Appeals,,0,6:00 PMJuly 162009,2009-07-16 18:00:00,2009-07-16 13:00:00
645,2009-07-18 19:00:00,TRE,Houston/Galveston Area,Thunderstorms,51,73000,9:00 PMJuly 192009,2009-07-19 21:00:00,2009-07-18 19:00:00
646,2009-07-20 21:50:00,WECC,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",Severe Thunderstorm,150,86058,7:00 PMJuly 222009,2009-07-22 19:00:00,2009-07-20 21:50:00
647,2009-07-21 05:34:00,WECC,"San Francisco Bay Area, California",Unit Tripped,136,1,8:43 AMJuly 212009,2009-07-21 08:43:00,2009-07-21 05:34:00
648,2009-07-27 05:05:00,SERC,"Chattanooga, Tennessee",Failure of Computer Hardware Used for Monitoring,,0,5:47 AMJuly 272009,2009-07-27 05:47:00,2009-07-27 05:05:00
649,2009-07-28 20:18:00,WECC,Salt Lake City Utah and Northern Utah,Loss of Part of Substation,316,0,8:33 PMJuly 282009,2009-07-28 20:33:00,2009-07-28 20:18:00
650,2009-08-02 02:17:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",Highwinds,,70264,1:09 PMAugust 032009,2009-08-03 13:09:00,2009-08-02 02:17:00
651,2009-08-04 13:45:00,RFC,"Northern Kentucky, Southwest Ohio and Central and South Indiana",Thunderstorms,50,63700,9:00 PMAugust 082009,2009-08-08 21:00:00,2009-08-04 13:45:00
652,2009-08-05 15:00:00,TRE,ERCOT Region,Made Public Appeals,,0,7:00 PMAugust 052009,2009-08-05 19:00:00,2009-08-05 15:00:00
653,2009-08-07 23:00:00,RFC,Western Region of Service Territory,High Winds and Rain,,137000,10:00 PMAugust 112009,2009-08-11 22:00:00,2009-08-07 23:00:00
654,2009-08-09 19:31:00,RFC,"Michigan, Lower Peninsula",Severe Thunderstorms,,58156,9:59 AMAugust 102009,2009-08-10 09:59:00,2009-08-09 19:31:00
655,2009-08-12 18:25:00,TRE,South Houston Service Area,Thunderstorms,491,73000,10:00 AMAugust 122009,2009-08-12 10:00:00,2009-08-12 18:25:00
656,2009-08-21 19:00:00,TRE,Houston Metropolitan Service Area,Thunderstorms,544,80000,8:00 AMAugust 222009,2009-08-22 08:00:00,2009-08-21 19:00:00
657,2009-08-29 11:00:00,MRO,Western South Dakota,Electrical System Separation,373,18,2:01 PMAugust 292009,2009-08-29 14:01:00,2009-08-29 11:00:00
658,2009-08-29 22:54:00,RFC,Western South Dakota,Electrical System Separation,84,0,11:53 PMAugust 292009,2009-08-29 23:53:00,2009-08-29 22:54:00
659,2009-08-31 10:31:00,WECC,"City of Los Angeles, California",Made Public Appeals,,0,12:00 AMAugust 312009,2009-08-31 00:00:00,2009-08-31 10:31:00
660,2009-10-07 05:45:00,RFC,Southeast Michigan,Severe Storms,,75000,11:00 PMOctober 092009,2009-10-09 23:00:00,2009-10-07 05:45:00
661,2009-10-09 18:30:00,WECC,"Central Valley, CA (Bakersfield, CA)",Transmission System Interruption,180,0,7:10 PMOctober 092009,2009-10-09 19:10:00,2009-10-09 18:30:00
662,2009-10-09 22:45:00,SERC,Arkansas and North Louisiana,Winter Storm,,56000,4:00 PMOctober 112009,2009-10-11 16:00:00,2009-10-09 22:45:00
663,2009-10-13 12:48:00,WECC,Southeastern Wyoming,Ice,101,35500,2:34 PMOctober 132009,2009-10-13 14:34:00,2009-10-13 12:48:00
664,2009-10-13 15:45:00,WECC,Sacramento County,High Winds,90,94000,5:50 PMOctober 132009,2009-10-13 17:50:00,2009-10-13 15:45:00
665,2009-10-13 16:00:00,WECC,Northern California,High Winds and Rain,350,859554,10:30 PMOctober 132009,2009-10-13 22:30:00,2009-10-13 16:00:00
666,2009-11-12 18:45:00,SERC,"Southeastern Virginia, Northeastern North Carolina",Tropical Storm Ida,400,335000,4:25 AMNovember 142009,2009-11-14 04:25:00,2009-11-12 18:45:00
667,2009-11-18 06:15:00,WECC,"Central Valley, CA",Switching Failure,630,0,10:00 AMNovember 182009,2009-11-18 10:00:00,2009-11-18 06:15:00
668,2009-12-07 22:00:00,WECC,California,Forced Outage Equipment Failure,400,0,4:00 AMDecember 082009,2009-12-08 04:00:00,2009-12-07 22:00:00
669,2009-12-08 01:00:00,WECC,Arizona,Severe Weather,,140000,11:00 AMDecember 102009,2009-12-10 11:00:00,2009-12-08 01:00:00
670,2009-12-08 06:34:00,WECC,California,Load Shed/Made Public Appeals,,0,12:00 PMDecember 082009,2009-12-08 12:00:00,2009-12-08 06:34:00
671,2009-12-09 13:37:00,RFC,Ohio,Severe Weather,,48102,6:30 AMDecember 102009,2009-12-10 06:30:00,2009-12-09 13:37:00
672,2009-12-10 17:45:00,RFC,Michigan,Severe Weather,,65562,8:00 AMDecember 122009,2009-12-12 08:00:00,2009-12-10 17:45:00
673,2009-12-18 20:00:00,RFC,"West Virginia, Kentucky, Ohio",Severe Weather,,403913,9:30 PMDecember 252009,2009-12-25 21:30:00,2009-12-18 20:00:00
674,2009-12-18 22:55:00,SERC,Western North Carolina,Severe Weather,,47000,11:15 PMDecember 192009,2009-12-19 23:15:00,2009-12-18 22:55:00
675,2010-01-06 18:00:00,SERC,Southwest Louisiana,Made Public Appeals,,0,6:00 PMJanuary 082010,2010-01-08 18:00:00,2010-01-06 18:00:00
676,2010-01-11 03:45:00,FRCC/SERC,Northern and Central Florida,Interruptible Load Shed/Made Public Appeals,,0,9:57 AMJanuary 112010,2010-01-11 09:57:00,2010-01-11 03:45:00
677,2010-01-18 11:30:00,WECC,Northern and Central California,Severe Storm,290,1700000,8:00 AMJanuary 282010,2010-01-28 08:00:00,2010-01-18 11:30:00
678,2010-01-19 07:30:00,WECC,San Francisco,Severe Storm,300,30000,12:24 PMJanuary 192010,2010-01-19 12:24:00,2010-01-19 07:30:00
679,2010-01-19 14:30:00,WECC,San Diego and Orange Counties,Severe Storm,2650,50000,3:00 PMJanuary 202010,2010-01-20 15:00:00,2010-01-19 14:30:00
680,2010-01-20 13:00:00,WECC,"City of Los Angeles, California",Severe Storm,,147223,6:10 PMJanuary 242010,2010-01-24 18:10:00,2010-01-20 13:00:00
681,2010-01-28 12:00:00,SPP,Oklahoma,Ice Storm,,68705,12:00 PMFebruary 022010,2010-02-02 12:00:00,2010-01-28 12:00:00
682,2010-02-01 14:32:00,SPP,Oklahoma,Ice Storm/Electrical System Separation,30,0,5:00 PMFebruary 012010,2010-02-01 17:00:00,2010-02-01 14:32:00
683,2010-02-05 15:00:00,RFC,Southern NJ,Winter Storm,,221000,4:00 PMFebruary 132010,2010-02-13 16:00:00,2010-02-05 15:00:00
684,2010-02-05 18:48:00,SERC,North and South Carolina,Winter Storm,500,74000,5:00 PMFebruary 072010,2010-02-07 17:00:00,2010-02-05 18:48:00
685,2010-02-05 19:00:00,RFC,"District of Columbia, Prince Georges and Montgomery Co. MD",Winter Storm,,97651,3:46 PMFebruary 122010,2010-02-12 15:46:00,2010-02-05 19:00:00
686,2010-02-05 22:30:00,RFC,Southwestern Pennsylvania,Winter Storm,,57000,12:00 PMFebruary 122010,2010-02-12 12:00:00,2010-02-05 22:30:00
687,2010-02-05 23:30:00,RFC,"Indiana, Ohio, W. Virginia and Virginia",Winter Storm,,102225,2:38 AMFebruary 072010,2010-02-07 02:38:00,2010-02-05 23:30:00
688,2010-02-06 02:30:00,SERC,"Virginia, North Carolina",Winter Storm,600,104736,7:00 AMFebruary 072010,2010-02-07 07:00:00,2010-02-06 02:30:00
689,2010-02-06 08:00:00,RFC,Delmarva Peninsula,Winter Storm,,58491,9:00 AMFebruary 062010,2010-02-06 09:00:00,2010-02-06 08:00:00
690,2010-02-09 18:00:00,RFC,Southeastern Pennsylvania,Winter Storm,,223000,4:00 PMFebruary 142010,2010-02-14 16:00:00,2010-02-09 18:00:00
691,2010-02-11 12:00:00,TRE,Dallas/Fort Worth and East Texas,Winter Storm,,500000,9:00 PMFebruary 152010,2010-02-15 21:00:00,2010-02-11 12:00:00
692,2010-02-12 05:00:00,SPP,"East Texas, Western Arkansas, Northern Lousiania",Winter Storm,,52999,5:00 PMFebruary 122010,2010-02-12 17:00:00,2010-02-12 05:00:00
693,2010-02-14 10:00:00,RFC,Western Pennsylvania nd Northeast Central WV,Winter Storm,900,190000,12:00 PMFebruary 142010,2010-02-14 12:00:00,2010-02-14 10:00:00
694,2010-02-19 20:30:00,WECC,"San Joaquin Field Division/Bakersfield, CA",Firm System Load Shed,1000,0,4:01 AMFebruary 202010,2010-02-20 04:01:00,2010-02-19 20:30:00
695,2010-02-23 22:00:00,NPCC,Upstate New York,Winter Storm,,150000,4:00 PMFebruary 252010,2010-02-25 16:00:00,2010-02-23 22:00:00
696,2010-02-25 00:01:00,NPCC,"Southeastern New York, Northern New Jersey",Winter Storm,,65000,9:00 PMFebruary 262010,2010-02-26 21:00:00,2010-02-25 00:01:00
697,2010-02-25 17:00:00,NPCC,New York City,Winter Storm,,55000,7:00 PMMarch 022010,2010-03-02 19:00:00,2010-02-25 17:00:00
698,2010-02-25 23:53:00,NPCC,Southern Maine and New Hampshire,Winter Storm,510,509606,4:40 PMMarch 012010,2010-03-01 16:40:00,2010-02-25 23:53:00
699,2010-03-13 01:00:00,RFC,Southeasten Pennsylvania,High Winds and rain,,177528,6:40 PMMarch 162010,2010-03-16 18:40:00,2010-03-13 01:00:00
700,2010-03-13 12:00:00,NPCC,Connecticut,High Winds and Rain,50,50246,8:05 PMMarch 152010,2010-03-15 20:05:00,2010-03-13 12:00:00
701,2010-03-13 15:00:00,NPCC,Long Island,High Winds and Rain,,153000,4:00 PMMarch 172010,2010-03-17 16:00:00,2010-03-13 15:00:00
702,2010-03-13 16:00:00,RFC,Central New Jersey and Northern New Jersey,High Winds and Flooding,,180000,12:00 AMMarch 162010,2010-03-16 00:00:00,2010-03-13 16:00:00
703,2010-03-13 18:00:00,RFC,"Southern, Central and Northern New Jersey",High Winds and Rain,100,360000,12:59 PMMarch 202010,2010-03-20 12:59:00,2010-03-13 18:00:00
704,2010-03-13 18:00:00,NPCC,New York City and Westchester County,High Winds and Rain,,173000,9:00 AMMarch 202010,2010-03-20 09:00:00,2010-03-13 18:00:00
705,2010-03-31 23:59:00,WECC,San Diego and Orange Counties,Shed Firm Load,324,290000,12:55 AMApril 012010,2010-04-01 00:55:00,2010-03-31 23:59:00
706,2010-03-31 23:59:00,WECC,San Diego,Shed Firm Load,324,0,12:38 AMApril 012010,2010-04-01 00:38:00,2010-03-31 23:59:00
707,2010-04-16 17:15:00,RFC,Southwestern Pennsylvania,Severe Thunderstorms,15,120000,5:00 PMApril 182010,2010-04-18 17:00:00,2010-04-16 17:15:00
708,2010-04-21 15:05:00,SERC,"Iberville, Parish, Louisiana",Generator Tripped,,0,8:00 PMApril 212010,2010-04-21 20:00:00,2010-04-21 15:05:00
709,2010-04-27 14:55:00,SERC,"Rocky Mount, NC",Transmission System Interruption,,29376,2:55 PMApril 272010,2010-04-27 14:55:00,2010-04-27 14:55:00
710,2010-05-02 14:40:00,SERC,Tennessee and Mississippi,Thunderstorms,,50500,7:30 PMMay 092010,2010-05-09 19:30:00,2010-05-02 14:40:00
711,2010-05-18 08:15:00,WECC,Central California,Breakers Tripped,318,0,10:46 PMMay 182010,2010-05-18 22:46:00,2010-05-18 08:15:00
712,2010-05-26 11:45:00,SERC/RFC,"Maryland, Pennsylvania, West Virginia, Virginia",Made Public Appeal - System Drill,,0,3:00 PMMay 262010,2010-05-26 15:00:00,2010-05-26 11:45:00
713,2010-06-01 22:03:00,RFC,Southwestern Indiana,Firm Load Shed,500,1,12:30 AMJune 182010,2010-06-18 00:30:00,2010-06-01 22:03:00
714,2010-06-02 20:18:00,TRE,"San Antonio, TX",Severe Weather,,126000,8:00 AMJune 042010,2010-06-04 08:00:00,2010-06-02 20:18:00
715,2010-06-06 04:45:00,WECC,Northern California,Electric System Separation,3,2650,5:35 AMJune 062010,2010-06-06 05:35:00,2010-06-06 04:45:00
716,2010-06-07 18:29:00,WECC,Denver Metropolitan Area,Firm Load Shed,300,31000,1:00 AMJune 082010,2010-06-08 01:00:00,2010-06-07 18:29:00
717,2010-06-08 11:00:00,TRE,Southeastern Texas,Thunderstorms,,79741,5:00 PMJune 082010,2010-06-08 17:00:00,2010-06-08 11:00:00
718,2010-06-09 14:18:00,SERC,"Edenton, NC",Transmission System Interruption,,4196,3:00 PMJune 092010,2010-06-09 15:00:00,2010-06-09 14:18:00
719,2010-06-16 11:11:00,NPCC,New York (Rockland and Orange Counties),Voltage Reduction (System Test),,0,11:32 AMJune 162010,2010-06-16 11:32:00,2010-06-16 11:11:00
720,2010-06-17 08:30:00,SPP,"Morgan City, LA",Made Public Appeal,,0,5:47 PMJune 172010,2010-06-17 17:47:00,2010-06-17 08:30:00
721,2010-06-17 09:30:00,SERC,Southern Louisiana,Made Public Appeal,,0,5:17 PMJune 172010,2010-06-17 17:17:00,2010-06-17 09:30:00
722,2010-06-17 09:30:00,SERC,Southern Louisiana,Made Public Appeal,,0,4:40 PMJune 172010,2010-06-17 16:40:00,2010-06-17 09:30:00
723,2010-06-17 09:30:00,SPP,Southwestern Louisiana,Made Public Appeal,,0,4:40 PMJune 172010,2010-06-17 16:40:00,2010-06-17 09:30:00
724,2010-06-17 10:49:00,MRO,Eastern Montana,Electrical System Separation,,0,11:02 AMJune 172010,2010-06-17 11:02:00,2010-06-17 10:49:00
725,2010-06-18 15:30:00,RFC,Northwest Indiana,Thunderstorms,,94345,12:30 AMJune 202010,2010-06-20 00:30:00,2010-06-18 15:30:00
726,2010-06-18 16:00:00,RFC,"Chicago, IL",Severe Weather,,400000,1:00 PMJune 202010,2010-06-20 13:00:00,2010-06-18 16:00:00
727,2010-06-18 19:00:00,RFC,Southern Portion of Lower Michigan,Thunderstorms,,100000,5:00 AMJune 192010,2010-06-19 05:00:00,2010-06-18 19:00:00
728,2010-06-18 20:00:00,RFC,"Indiana, Michigan",Severe Weather,,79000,10:45 AMJune 212010,2010-06-21 10:45:00,2010-06-18 20:00:00
729,2010-06-18 20:00:00,RFC,"Detroit, MI",Severe Weather,,150000,7:30 PMJune 222010,2010-06-22 19:30:00,2010-06-18 20:00:00
730,2010-06-21 13:48:00,RFC,"Cincinnati, OH",Thunderstorms,400,50636,8:31 PMJune 222010,2010-06-22 20:31:00,2010-06-21 13:48:00
731,2010-06-22 15:34:00,SERC,West/Central Arkansas,Made Public Appeal/Transmission Equipment Failure,84,25159,7:00 PMJune 222010,2010-06-22 19:00:00,2010-06-22 15:34:00
732,2010-06-23 17:00:00,RFC,"Chicago, IL",Severe Weather,,300000,1:40 PMJune 252010,2010-06-25 13:40:00,2010-06-23 17:00:00
733,2010-06-23 17:48:00,RFC,Northwest Indiana,Thunderstorms,,53000,2:21 AMJune 242010,2010-06-24 02:21:00,2010-06-23 17:48:00
734,2010-06-24 15:00:00,RFC,Southwestern New Jersey,Thunderstorms,,150000,12:00 PMJune 292010,2010-06-29 12:00:00,2010-06-24 15:00:00
735,2010-06-24 15:30:00,RFC,Southeastern Pennsylvania,Thunderstorms,,355000,11:59 PMJune 292010,2010-06-29 23:59:00,2010-06-24 15:30:00
736,2010-06-25 23:36:00,WECC,Northern California,Electrical System Separation,,0,1:38 AMJune 262010,2010-06-26 01:38:00,2010-06-25 23:36:00
737,2010-07-06 03:47:00,RFC,"Newark, DE",Transformer Outage,95,18400,4:37 AMJuly 062010,2010-07-06 04:37:00,2010-07-06 03:47:00
738,2010-07-07 16:13:00,RFC,"York, South Central Pennsylvania",Loss of Transmission Equipment,,43903,10:29 PMJuly 072010,2010-07-07 22:29:00,2010-07-07 16:13:00
739,2010-07-15 19:00:00,RFC,Southeastern Michigan,Severe Weather,540,127534,11:30 PMJuly 192010,2010-07-19 23:30:00,2010-07-15 19:00:00
740,2010-07-17 20:30:00,MRO,Minnesota,"Strong Winds, Tornadoes",,63000,10:00 PMJuly 192010,2010-07-19 22:00:00,2010-07-17 20:30:00
